Water Control Zone,Station,Dates,Sample No,Depth,Volatile Suspended Solids mg_L,Unionised Ammonia mg_L,Turbidity NTU,Total Phosphorus mg_L,Total Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Inorganic Nitrogen mg_L,Temperature C,Suspended Solids mg_L,Silica mg_L,Secchi Disc Depth M,Salinity psu,Phaeo-pigments ug_L,pH,Orthophosphate Phosphorus mg_L,Nitrite Nitrogen mg_L,Nitrate Nitrogen mg_L,Faecal Coliforms cfu_100mL,E. coli cfu_100mL,Dissolved Oxygen mg_L,Dissolved Oxygen per_saturation,Chlorophyll-a ug_L,Ammonia Nitrogen mg_L,5-day Biochemical Oxygen Demand mg_L
Deep Bay,DM1,2020-09-19,1,Surface Water,4.8,0.009,16.8,0.23,2.59,1.2,2.23,29.2,28,10,1.2,11.8,2.8,7.1,0.16,0.19,1.2,780,200,4.4,62.0,4.1,0.84,1.4
Deep Bay,DM1,2020-10-17,1,Surface Water,2.2,0.005,15.5,0.23,1.81,0.64,1.38,26.1,19,5,1.1,22.6,2.5,7.7,0.15,0.073,1.1,130,37,5.9,83.0,8.2,0.21,0.3
Deep Bay,DM1,2020-11-16,1,Surface Water,7.9,0.002,21.6,0.21,2.11,0.58,1.82,23.4,59,3.7,1.2,22.0,6,7.2,0.16,0.026,1.5,650,280,5.7,77.0,5.7,0.29,1.1
Deep Bay,DM1,2021-02-27,1,Surface Water,2.7,0.003,36.1,0.26,2.21,0.76,1.91,21.5,25,4.4,1.1,17.6,5.7,7.1,0.13,0.15,1.3,1900,800,5.7,72.0,4.1,0.46,1.4
Deep Bay,DM1,2021-03-24,1,Surface Water,3.8,0.003,9.8,0.14,1.97,0.81,1.43,21.0,20,6.1,1.3,22.1,0.9,7.5,0.11,0.063,1.1,530,270,5.5,70.0,14,0.27,12
Deep Bay,DM1,2021-04-16,1,Surface Water,4,0.008,11.6,0.2,1.55,0.82,0.99,24.6,19,5.7,1.1,21.4,3.5,7.8,0.15,0.06,0.67,140,66,4.8,65.0,15,0.26,2
Deep Bay,DM1,2021-05-17,1,Surface Water,9.4,0.003,25.1,,,,0.82,30.7,21,1.4,1.0,13.4,5.1,7.2,0.21,0.11,0.49,90,38,4.0,57.0,14,0.22,1.4
Deep Bay,DM1,2021-06-16,1,Surface Water,<0.5,0.007,37.1,,,,1.48,30.1,51,4.3,0.9,11.9,2.5,7.4,0.19,0.17,0.9,430,130,4.0,56.0,1.7,0.41,2.1
Deep Bay,DM1,2021-07-15,1,Surface Water,5.3,0.004,32.1,,,,1.54,32.6,45,9.6,0.9,9.4,4.6,7.4,0.15,0.19,1.2,86,23,4.2,62.0,4.1,0.15,1.2
Deep Bay,DM1,2021-08-11,1,Surface Water,5.2,0.009,19.1,,,,1.89,29.9,34,7.6,1.0,10.2,3.1,7.1,0.2,0.23,0.85,3000,1600,4.3,61.0,1.7,0.81,1.9
Deep Bay,DM1,2021-09-11,1,Surface Water,9.3,0.003,38.0,,,,3.31,31.0,57,9,0.9,15.9,4.7,6.9,0.22,0.19,2.7,110,41,6.9,101.0,3.8,0.42,1.5
Deep Bay,DM1,2021-10-26,1,Surface Water,2.8,0.008,13.6,,,,3.41,24.7,13,11,0.9,14.1,3,7.2,0.13,0.26,2.2,2400,900,7.0,91.0,14,0.95,1.9
Deep Bay,DM1,2021-11-05,1,Surface Water,7.1,0.003,20.6,0.25,2.23,0.86,1.8,27.4,19,6.6,1.1,20.0,1.5,7.0,0.15,0.17,1.2,260,90,6.3,89.0,5.4,0.43,1.1
Deep Bay,DM1,2021-12-04,1,Surface Water,2.8,0.002,16.4,0.16,1.79,0.51,1.49,17.6,20,2.3,1.3,22.2,3.5,7.5,0.11,0.084,1.2,460,190,7.7,92.0,13,0.21,1.3
Deep Bay,DM1,2022-01-22,1,Surface Water,6.3,0.002,28.3,0.37,3.02,1.1,2.4,19.7,51,4,0.9,18.8,5.3,7.1,0.13,0.12,1.8,920,470,9.2,113.0,2.2,0.48,0.4
Deep Bay,DM1,2022-02-18,1,Surface Water,2.5,0.002,24.4,0.41,2.84,0.72,2.61,17.9,33,1.9,1.1,23.3,3.7,7.1,0.018,0.42,1.7,840,420,6.3,76.0,2.1,0.49,1.2
Deep Bay,DM1,2022-04-09,1,Surface Water,1,0.002,9.9,0.16,1.4,0.46,1.18,23.5,7,5.4,1.0,17.9,2.6,7.3,0.093,0.1,0.84,96,43,6.8,88.0,4.1,0.24,0.9
Deep Bay,DM1,2022-05-20,1,Surface Water,2.5,0.011,18.0,0.19,2.21,0.84,2,26.2,19,7.9,1.2,11.8,2.2,7.5,0.1,0.17,1.2,750,450,6.3,83.0,2.4,0.63,<0.1
